Kode,KodeSupplier,Nama,Harga,Satuan,Barcode
2335,172,MITU WETTIES LEMON BTL 60,12147.5,PCS  ,8.99275E+12
2336,172,MITU WETTIES A.SEPTIC REF 60,10753.75,PCS  ,8.99275E+12
2337,172,MITU EXTRA THICK PINK 50,8895,PCS  ,8.99275E+12
2338,172,MITU REFILL COLOGNE 120,11287.5,PCS  ,8.99275E+12
2339,172,MITU WETTIES REFILL LEMON,11287.5,PCS  ,8.99275E+12
2340,172,MITU BABY REFILL PINK,11287.5,PCS  ,8.99275E+12
2341,172,MITU TRAVEL PACK BLUE 10S,2587.5,PCS  ,8.99275E+12
2342,172,MITU WETTIES PACK COLOGNE10,2587.5,PCS  ,8.99275E+12
2343,172,MITU WETTIES LEMON 10,2587.5,PCS  ,8.99275E+12
2344,172,MITU TRAVEL PACK PINK 10S,2587.5,PCS  ,8.99275E+12
2348,172,MITU REG REFIL BLUE 20S,10753.75,PCS  ,8.99275E+12
2350,A0002     ,KOTEX SS SLIM 20,8023.75,PCS  ,8.99281E+12
2351,174,NICE BEUTIFUL FLOW.120`S,5003.75,PCS  ,8.99276E+12
2352,174,NICE EMBOS 6 ROLL,11862.5,PCS  ,8.99276E+12
2359,31,TESSA TPC-23,6637.5,PCS  ,8.99293E+12
2360,A0030     ,ROMA CREAM CRACKERS 135 GR,3093.75,DOS  ,8.996E+12
2363,31,PASEO COMPAC AOE 10,8905,PCS  ,8.99305E+12
2364,69,MM NUTRIBOOST UHT STR 180,5967.5,DOS  ,8.99276E+12
2365,69,MM NUTRIBOOST UHT ORG 180,8410,DOS  ,8.99276E+12
2367,33,OVALE MASKULIN OILFREE 75,6431.25,PCS  ,8.99342E+12
2370,103,PASEO HANKY COMP D.CLASS 6,4255,PCS  ,8.99305E+12
2371,181,KACANG KUPAS 500 GR,17212.5,PCS  ,2371
2374,103,PASEO HANDKY 4S WALET/6,3226.25,PCS  ,8.99305E+12
2375,103,PASEO COMP UMBRELLA 10,7471.25,PCS  ,8.99305E+12
238,A110      ,ROMA KELAPA 300GR,5625,DOS  ,8.996E+12
2380,103,PASEO BATR 4 ROLL 280 S,14941.25,PCS  ,8.99305E+12
2381,31,PASEO BATROM 6 ROLL,22263.75,PCS  ,8.99305E+12
2382,172,MITU T REFIL BPL  20,3856.25,PCS  ,8.99275E+12
2388,31,PASEO STD ALOE VERA 1013,6026.25,PCS  ,8.99305E+12
239,A110      ,ROMA MALKIST CRACK 135 GR,2896.25,DOS  ,8.996E+12
2390,31,PASEO STD EUCALYPTUS 1020,6153.75,PCS  ,8.99305E+12
2394,103,PASEO SOFTPACK 3PLY180,7035,PCS  ,8.99305E+12
2396,19,SQ BITES ALMOND 45,11287.5,PCS  ,8.991E+12
2398,172,MITU TRAVEL PACK PINK 5,876.25,PCS  ,8.99281E+12
240,A110      ,ROMA MARIE SUSU 115GR,2750,DOS  ,8.886E+12
2409,A0044     ,PAI COKLAT SUPREZZ 85GR,3178.75,PCS  ,2409
2411,31,TESSA TP-02 SOFT PACK 250S,12718.75,PCS  ,8.99293E+12
2412,31,TESSA TM-05,4566.25,PCS  ,8.99293E+12
2414,31,TESSA TP-08,5190,PCS  ,8.99293E+12
2417,31,TESSA TOT-04,3262.5,PCS  ,8.99293E+12
2418,31,TESSA TP-10,9112.5,PCS  ,8.99293E+12
2419,31,TESSA TP-06 REF HORIZON,6012.5,PCS  ,8.99293E+12
2421,31,TESSA TPC-02,3178.75,PCS  ,8.99293E+12
2423,31,TESSA TPC-07,3262.5,PCS  ,8.99293E+12
2424,31,TESSA TPC-15,2312.5,PCS  ,8.99293E+12
2427,31,TESSA TPC-18,2890,PCS  ,8.99293E+12
243,176,GERY SALUUT  COKLAT 7.5  G,6156.25,BOX  ,8.99278E+12
2430,31,TESSA WHITE HOTEL TS-04,2890,PCS  ,8.99293E+12
2434,31,NICE TISU EMBOS ROLL-4,7965,PCS  ,8.99276E+12
2435,31,MULTI MN-01,2418.75,PCS  ,8.99293E+12
2436,31,TESSA TP-09,2812.5,PCS  ,8.99293E+12
2437,172,MITU WETTIES ANTISEPTIC 10,2587.5,PCS  ,8.99275E+12
244,31,NYAM NYAM FACE COOKIES,1062.5,PCS  ,8.886E+12
2449,23,TOPLY HANDKCF STD BLLMN,3265,PCS  ,8.99276E+12
2457,31,TOPLY NAPKIN COLOUR,2236.25,PCS  ,8.99276E+12
